,-0.9,-0.89,-0.88,-0.87,-0.86,-0.85,-0.84,-0.83,-0.82,-0.81,-0.8,-0.79,-0.78,-0.77,-0.76,-0.75,-0.74,-0.73,-0.72,-0.71,-0.7,-0.69,-0.68,-0.67,-0.66,-0.65,-0.64,-0.63,-0.62,-0.61,-0.6,-0.59,-0.58,-0.57,-0.56,-0.55,-0.54,-0.53,-0.52,-0.51,-0.5,-0.49,-0.48,-0.47,-0.46,-0.45,-0.44,-0.43,-0.42,-0.41,-0.4,-0.39,-0.38,-0.37,-0.36,-0.35,-0.34,-0.33,-0.32,-0.31,-0.3,-0.29,-0.28,-0.27,-0.26,-0.25,-0.24,-0.23,-0.22,-0.21,-0.2,-0.19,-0.18,-0.17,-0.16,-0.15,-0.14,-0.13,-0.12,-0.11,-0.1,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,6.41848e-16,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9
7,27.1891,27.2036,27.2113,27.2474,27.2674,27.3031,27.3382,27.3799,27.3984,27.4301,27.4492,27.4389,27.4566,27.4741,27.4707,27.5015,27.4964,27.4562,27.4268,27.4173,27.3938,27.3863,27.3695,27.3425,27.3264,27.3332,27.3343,27.2807,27.298,27.3109,27.3011,27.2727,27.3049,27.3294,27.3554,27.4123,27.4286,27.4761,27.5265,27.5634,27.6718,27.7663,27.8547,27.9511,28.0879,28.2231,28.3637,28.5233,28.6521,28.805,29.0394,29.1775,29.3787,29.5625,29.8044,29.9938,30.2185,30.4424,30.6562,30.9183,31.1334,31.4022,31.6619,31.9207,32.1971,32.5033,32.7711,33.0457,33.3525,33.635,33.9654,34.279,34.6209,34.9329,35.4522,35.7977,36.2052,36.574,36.9617,37.3484,37.7372,38.1275,38.5546,38.9708,39.3762,39.812,40.2392,40.6643,41.12,41.5539,42.3462,42.5101,42.9859,43.4833,43.987,44.4835,45.0061,45.5654,46.0864,46.6071,47.1135,47.6428,48.2179,48.8321,49.3907,50.0446,50.7115,51.4944,52.1037,52.7641,53.4482,54.1428,54.8111,55.5079,56.192,56.9217,57.6571,58.4201,59.1925,59.9694,60.7802,61.5526,62.3777,63.2372,64.0646,64.9141,65.7716,66.6648,67.5816,68.5278,69.408,70.3656,71.3023,72.1615,73.1092,74.0794,75.038,76.0296,76.9834,77.9324,78.9053,79.8805,80.825,81.7761,82.7051,83.6693,84.5737,85.5031,86.4392,87.3356,88.2307,89.0971,89.9309,90.7336,91.5028,92.2415,92.9656,93.6681,94.3205,94.9536,95.6075,96.1636,96.7395,97.2811,97.8055,98.3305,98.9054,99.3842,99.8579,100.347,100.77,101.184,101.574,101.941,102.315,102.663,103.049,103.374,103.713,104.038,104.315
8,24.2163,24.154,24.0784,24.0323,23.9407,23.8476,23.7851,23.7274,23.6347,23.5589,23.5033,23.4333,23.3611,23.2971,23.2305,23.1411,23.0684,22.9966,22.9397,22.906,22.8655,22.8088,22.7953,22.7698,22.7329,22.7073,22.7008,22.7065,22.7219,22.7412,22.7649,22.8199,22.8307,22.8813,22.931,23.0418,23.1469,23.2502,23.3508,23.462,23.5756,23.6994,23.8305,23.9516,24.0794,24.236,24.3976,24.5769,24.7267,24.9113,25.1014,25.2802,25.4742,25.6464,25.8585,26.1023,26.3175,26.5557,26.804,27.0396,27.2731,27.5424,27.7706,28.0057,28.2644,28.5348,28.7979,29.0814,29.3555,29.6507,29.951,30.2461,30.5671,30.8852,31.2078,31.5068,31.859,32.2189,32.5808,32.9274,33.3057,33.6768,34.074,34.5014,34.8877,35.2983,35.703,36.1289,36.5644,37.0068,37.6186,37.9279,38.4153,38.8805,39.3729,39.8909,40.4044,40.905,41.4486,41.9887,42.5272,43.0699,43.6422,44.194,44.7766,45.3802,45.9714,46.5919,47.2309,47.909,48.5472,49.217,49.8842,50.5941,51.3247,52.0451,52.7939,53.5646,54.3156,55.115,55.9387,56.7494,57.6064,58.4913,59.3905,60.252,61.1597,62.0773,63.0263,64.0003,65.0048,65.9968,67.0356,68.0636,69.0996,70.1438,71.174,72.2204,73.2783,74.3454,75.4522,76.5519,77.7101,78.8164,79.9142,80.9973,82.0554,83.16,84.2368,85.2555,86.2756,87.2949,88.2851,89.2412,90.1424,90.9936,91.8528,92.7046,93.5309,94.2648,94.951,95.6438,96.3089,96.9437,97.5487,98.1397,98.6839,99.2096,99.7172,100.196,100.666,101.132,101.529,101.931,102.321,102.691,103.036,103.38,103.73,104.035,104.356
9,24.2163,24.154,24.0784,24.0323,23.9407,23.8476,23.7851,23.7274,23.6347,23.5589,23.5033,23.4333,23.3611,23.2971,23.2305,23.1411,23.0684,22.9966,22.9397,22.906,22.8655,22.8088,22.7953,22.7698,22.7329,22.7073,22.7008,22.7065,22.7219,22.7412,22.7649,22.8199,22.8307,22.8813,22.931,23.0418,23.1469,23.2502,23.3508,23.462,23.5756,23.6994,23.8305,23.9516,24.0794,24.236,24.3976,24.5769,24.7267,24.9113,25.1014,25.2802,25.4742,25.6464,25.8585,26.1023,26.3175,26.5557,26.804,27.0396,27.2731,27.5424,27.7706,28.0057,28.2644,28.5348,28.7979,29.0814,29.3555,29.6507,29.951,30.2461,30.5671,30.8852,31.2078,31.5068,31.859,32.2189,32.5808,32.9274,33.3057,33.6768,34.074,34.5014,34.8877,35.2983,35.703,36.1289,36.5644,37.0068,37.6186,37.9279,38.4153,38.8805,39.3729,39.8909,40.4044,40.905,41.4486,41.9887,42.5272,43.0699,43.6422,44.194,44.7766,45.3802,45.9714,46.5919,47.2309,47.909,48.5472,49.217,49.8842,50.5941,51.3247,52.0451,52.7939,53.5646,54.3156,55.115,55.9387,56.7494,57.6064,58.4913,59.3905,60.252,61.1597,62.0773,63.0263,64.0003,65.0048,65.9968,67.0356,68.0636,69.0996,70.1438,71.174,72.2204,73.2783,74.3454,75.4522,76.5519,77.7101,78.8164,79.9142,80.9973,82.0554,83.16,84.2368,85.2555,86.2756,87.2949,88.2851,89.2412,90.1424,90.9936,91.8528,92.7046,93.5309,94.2648,94.951,95.6438,96.3089,96.9437,97.5487,98.1397,98.6839,99.2096,99.7172,100.196,100.666,101.132,101.529,101.931,102.321,102.691,103.036,103.38,103.73,104.035,104.356
10,20.2132,20.0996,19.98,19.8579,19.7745,19.6784,19.5966,19.5055,19.4271,19.3634,19.2969,19.2437,19.1983,19.1597,19.139,19.1043,19.0804,19.0638,19.0723,19.0678,19.0873,19.1008,19.1235,19.1601,19.2059,19.2548,19.3086,19.3398,19.3857,19.4526,19.5528,19.642,19.7199,19.803,19.8949,19.9877,20.105,20.1972,20.3138,20.4392,20.5672,20.7227,20.8571,20.9823,21.124,21.2631,21.4273,21.5718,21.7155,21.8904,22.0612,22.2267,22.4019,22.5827,22.7619,22.9442,23.1363,23.3693,23.5726,23.7806,24.0166,24.2608,24.4883,24.7207,24.9586,25.1987,25.4635,25.7218,25.9997,26.2733,26.5707,26.829,27.1222,27.4373,27.7268,28.0444,28.3538,28.6504,28.9788,29.3343,29.6898,30.0335,30.3466,30.7181,31.0656,31.4634,31.8417,32.241,32.6707,33.0563,33.5563,33.9,34.3336,34.8104,35.244,35.6907,36.1793,36.6741,37.1643,37.6872,38.2176,38.7365,39.286,39.8208,40.4319,41.0335,41.6069,42.2199,42.8418,43.4802,44.165,44.8665,45.553,46.2705,47.0236,47.8091,48.5608,49.3487,50.1347,50.9812,51.8381,52.6747,53.6151,54.536,55.4498,56.4156,57.4408,58.4454,59.4825,60.5402,61.6348,62.7392,63.8514,64.9708,66.1365,67.3143,68.4689,69.6438,70.8421,72.0413,73.2226,74.4552,75.6975,76.8934,78.0838,79.2392,80.4735,81.6211,82.7836,83.9888,85.0939,86.2175,87.2849,88.33,89.3547,90.3398,91.3059,92.2413,93.1188,93.9939,94.8542,95.6408,96.4036,97.1149,97.767,98.4151,99.0233,99.5946,100.12,100.637,101.154,101.628,102.056,102.488,102.922,103.302,103.649,104.017,104.332,104.652,104.958
11,20.2132,20.0996,19.98,19.8579,19.7745,19.6784,19.5966,19.5055,19.4271,19.3634,19.2969,19.2437,19.1983,19.1597,19.139,19.1043,19.0804,19.0638,19.0723,19.0678,19.0873,19.1008,19.1235,19.1601,19.2059,19.2548,19.3086,19.3398,19.3857,19.4526,19.5528,19.642,19.7199,19.803,19.8949,19.9877,20.105,20.1972,20.3138,20.4392,20.5672,20.7227,20.8571,20.9823,21.124,21.2631,21.4273,21.5718,21.7155,21.8904,22.0612,22.2267,22.4019,22.5827,22.7619,22.9442,23.1363,23.3693,23.5726,23.7806,24.0166,24.2608,24.4883,24.7207,24.9586,25.1987,25.4635,25.7218,25.9997,26.2733,26.5707,26.829,27.1222,27.4373,27.7268,28.0444,28.3538,28.6504,28.9788,29.3343,29.6898,30.0335,30.3466,30.7181,31.0656,31.4634,31.8417,32.241,32.6707,33.0563,33.5563,33.9,34.3336,34.8104,35.244,35.6907,36.1793,36.6741,37.1643,37.6872,38.2176,38.7365,39.286,39.8208,40.4319,41.0335,41.6069,42.2199,42.8418,43.4802,44.165,44.8665,45.553,46.2705,47.0236,47.8091,48.5608,49.3487,50.1347,50.9812,51.8381,52.6747,53.6151,54.536,55.4498,56.4156,57.4408,58.4454,59.4825,60.5402,61.6348,62.7392,63.8514,64.9708,66.1365,67.3143,68.4689,69.6438,70.8421,72.0413,73.2226,74.4552,75.6975,76.8934,78.0838,79.2392,80.4735,81.6211,82.7836,83.9888,85.0939,86.2175,87.2849,88.33,89.3547,90.3398,91.3059,92.2413,93.1188,93.9939,94.8542,95.6408,96.4036,97.1149,97.767,98.4151,99.0233,99.5946,100.12,100.637,101.154,101.628,102.056,102.488,102.922,103.302,103.649,104.017,104.332,104.652,104.958
12,16.4503,16.3713,16.2966,16.2321,16.1887,16.1542,16.1186,16.0929,16.072,16.0552,16.0593,16.0468,16.0298,16.0274,16.0534,16.068,16.0817,16.1246,16.1581,16.2026,16.2598,16.3171,16.363,16.4265,16.5024,16.5795,16.663,16.7461,16.8261,16.9051,17.0035,17.1067,17.1827,17.2715,17.3539,17.4694,17.5663,17.6875,17.8098,17.9216,18.053,18.1898,18.323,18.463,18.6021,18.7382,18.8661,18.9951,19.1433,19.2972,19.44,19.599,19.7326,19.8946,20.0786,20.2478,20.4129,20.6026,20.7882,20.9758,21.1953,21.4106,21.6149,21.828,22.0258,22.2477,22.4796,22.7345,22.9869,23.226,23.4752,23.7495,24.0434,24.3178,24.5921,24.8727,25.1531,25.4506,25.7464,26.0462,26.3582,26.6709,27.0271,27.3514,27.684,28.0505,28.4072,28.7795,29.1457,29.5249,29.9883,30.3463,30.7672,31.1945,31.6312,32.0896,32.5448,33.0216,33.5337,34.0417,34.5096,35.0546,35.615,36.1466,36.7,37.2702,37.8517,38.4534,39.0932,39.7285,40.4111,41.101,41.832,42.5628,43.3211,44.0853,44.8968,45.7415,46.6118,47.4659,48.3609,49.3508,50.2882,51.2602,52.2674,53.3076,54.3575,55.4355,56.5544,57.6821,58.8553,60.0889,61.3,62.5794,63.8445,65.1373,66.4413,67.7353,69.024,70.362,71.703,73.0262,74.336,75.6684,76.9368,78.2895,79.5729,80.8245,82.1044,83.3341,84.5788,85.764,86.9018,88.0234,89.1071,90.1698,91.1299,92.1513,93.1005,93.9965,94.9101,95.7644,96.5818,97.3871,98.1261,98.8124,99.5088,100.132,100.722,101.304,101.828,102.331,102.814,103.259,103.696,104.104,104.512,104.871,105.222,105.554,105.874
13,16.4503,16.3713,16.2966,16.2321,16.1887,16.1542,16.1186,16.0929,16.072,16.0552,16.0593,16.0468,16.0298,16.0274,16.0534,16.068,16.0817,16.1246,16.1581,16.2026,16.2598,16.3171,16.363,16.4265,16.5024,16.5795,16.663,16.7461,16.8261,16.9051,17.0035,17.1067,17.1827,17.2715,17.3539,17.4694,17.5663,17.6875,17.8098,17.9216,18.053,18.1898,18.323,18.463,18.6021,18.7382,18.8661,18.9951,19.1433,19.2972,19.44,19.599,19.7326,19.8946,20.0786,20.2478,20.4129,20.6026,20.7882,20.9758,21.1953,21.4106,21.6149,21.828,22.0258,22.2477,22.4796,22.7345,22.9869,23.226,23.4752,23.7495,24.0434,24.3178,24.5921,24.8727,25.1531,25.4506,25.7464,26.0462,26.3582,26.6709,27.0271,27.3514,27.684,28.0505,28.4072,28.7795,29.1457,29.5249,29.9883,30.3463,30.7672,31.1945,31.6312,32.0896,32.5448,33.0216,33.5337,34.0417,34.5096,35.0546,35.615,36.1466,36.7,37.2702,37.8517,38.4534,39.0932,39.7285,40.4111,41.101,41.832,42.5628,43.3211,44.0853,44.8968,45.7415,46.6118,47.4659,48.3609,49.3508,50.2882,51.2602,52.2674,53.3076,54.3575,55.4355,56.5544,57.6821,58.8553,60.0889,61.3,62.5794,63.8445,65.1373,66.4413,67.7353,69.024,70.362,71.703,73.0262,74.336,75.6684,76.9368,78.2895,79.5729,80.8245,82.1044,83.3341,84.5788,85.764,86.9018,88.0234,89.1071,90.1698,91.1299,92.1513,93.1005,93.9965,94.9101,95.7644,96.5818,97.3871,98.1261,98.8124,99.5088,100.132,100.722,101.304,101.828,102.331,102.814,103.259,103.696,104.104,104.512,104.871,105.222,105.554,105.874
14,13.8876,13.8525,13.795,13.7722,13.7527,13.7543,13.7363,13.7342,13.7253,13.7271,13.7236,13.737,13.7562,13.7928,13.8388,13.8636,13.8958,13.9144,13.9403,13.997,14.0482,14.1034,14.1634,14.2156,14.2825,14.3543,14.4209,14.5002,14.5909,14.6704,14.7762,14.86,14.9506,15.0443,15.1379,15.2284,15.3358,15.4463,15.5419,15.6588,15.7742,15.882,16.0094,16.1414,16.258,16.3812,16.4989,16.6299,16.7584,16.8766,17.0226,17.165,17.3064,17.4505,17.6075,17.7617,17.9299,18.0983,18.2494,18.4333,18.6183,18.8061,19.01,19.2197,19.4233,19.6439,19.874,20.105,20.3306,20.5482,20.7682,20.9986,21.2491,21.5032,21.7629,22.026,22.2799,22.5479,22.8249,23.1077,23.3999,23.683,23.9787,24.3262,24.6243,24.9553,25.2942,25.6426,26.0278,26.3916,26.8357,27.2053,27.5936,28.0139,28.429,28.8764,29.3322,29.7941,30.2639,30.7582,31.2766,31.7752,32.3067,32.8457,33.4072,33.9862,34.584,35.1959,35.8145,36.5082,37.152,37.8751,38.596,39.3397,40.1159,40.8992,41.7375,42.5818,43.4619,44.413,45.3505,46.3321,47.3419,48.4173,49.5179,50.6643,51.8454,53.0337,54.2201,55.4457,56.7099,58.0187,59.345,60.7204,62.1449,63.5333,64.9781,66.3912,67.7832,69.1794,70.592,71.996,73.4411,74.8897,76.3139,77.6902,79.0696,80.4314,81.7635,83.0394,84.2721,85.505,86.7205,87.9384,89.1359,90.277,91.3668,92.4058,93.4244,94.3917,95.3163,96.2412,97.0722,97.8838,98.6548,99.3898,100.11,100.791,101.417,102.011,102.586,103.132,103.631,104.11,104.551,104.971,105.385,105.766,106.125,106.477,106.786
15,13.8876,13.8525,13.795,13.7722,13.7527,13.7543,13.7363,13.7342,13.7253,13.7271,13.7236,13.737,13.7562,13.7928,13.8388,13.8636,13.8958,13.9144,13.9403,13.997,14.0482,14.1034,14.1634,14.2156,14.2825,14.3543,14.4209,14.5002,14.5909,14.6704,14.7762,14.86,14.9506,15.0443,15.1379,15.2284,15.3358,15.4463,15.5419,15.6588,15.7742,15.882,16.0094,16.1414,16.258,16.3812,16.4989,16.6299,16.7584,16.8766,17.0226,17.165,17.3064,17.4505,17.6075,17.7617,17.9299,18.0983,18.2494,18.4333,18.6183,18.8061,19.01,19.2197,19.4233,19.6439,19.874,20.105,20.3306,20.5482,20.7682,20.9986,21.2491,21.5032,21.7629,22.026,22.2799,22.5479,22.8249,23.1077,23.3999,23.683,23.9787,24.3262,24.6243,24.9553,25.2942,25.6426,26.0278,26.3916,26.8357,27.2053,27.5936,28.0139,28.429,28.8764,29.3322,29.7941,30.2639,30.7582,31.2766,31.7752,32.3067,32.8457,33.4072,33.9862,34.584,35.1959,35.8145,36.5082,37.152,37.8751,38.596,39.3397,40.1159,40.8992,41.7375,42.5818,43.4619,44.413,45.3505,46.3321,47.3419,48.4173,49.5179,50.6643,51.8454,53.0337,54.2201,55.4457,56.7099,58.0187,59.345,60.7204,62.1449,63.5333,64.9781,66.3912,67.7832,69.1794,70.592,71.996,73.4411,74.8897,76.3139,77.6902,79.0696,80.4314,81.7635,83.0394,84.2721,85.505,86.7205,87.9384,89.1359,90.277,91.3668,92.4058,93.4244,94.3917,95.3163,96.2412,97.0722,97.8838,98.6548,99.3898,100.11,100.791,101.417,102.011,102.586,103.132,103.631,104.11,104.551,104.971,105.385,105.766,106.125,106.477,106.786
